0.1868	0.0868	0.2572	0.2572	0.2568	0.2564	-0.0836	-0.1556	-0.1984
-0.1636	-0.132	-0.0676	-0.0604	-0.0468	-0.0392	0.1076	0.1344	0.1372
0.527213	0.295653	1.02431	1.03529	1.051	1.05702	0.318424	0.463737	0.689079
-1	-1	-1	-1	-1	-1	-1	-1	-1
1	1	1	1	1	1	1	1	1
7.26853	7.03828	7.91172	7.93239	8.01317	8.05331	7.98933	8.03003	8.12451
26	26	25	25	25	25	21	21	23
-10	-10	-10	-10	-10	-10	-10	-10	-10
0.016828	0.069657	0.0952913	0.0991789	0.109039	0.113657	0.0695058	0.0168254	0.0290276
0.18469	0.184455	0.185085	0.185282	0.185156	0.185244	0.185339	0.185454	0.185679
0	0	0	0	0	0	0	0	0
-1	-1	-1	-1	-1	-1	-1	-1	-1
1.82068	2.32962	1.10721	1.09609	1.08165	1.07946	0.694195	0.71216	0.75317
0.458005	0.56449	0.257037	0.257266	0.260219	0.26472	0.460959	0.440656	0.398895
1.36
