-0.2484	-0.248	-0.2476	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2488	-0.2484	-0.248	-0.2476	-0.2488	-0.2484	-0.248	-0.2484
-0.0552	-0.0552	-0.0552	-0.0548	-0.0548	-0.0548	-0.0548	-0.0544	-0.0544	-0.0544	-0.0544	-0.0544	-0.054	-0.054	-0.054	-0.054	-0.054	-0.0536	-0.0536	-0.0536	-0.0536	-0.0536	-0.0532	-0.0532	-0.0532	-0.0532	-0.0532	-0.0528	-0.0528	-0.0528	-0.0528	-0.0528	-0.0524	-0.0524	-0.0524	-0.0524	-0.0524	-0.052	-0.052	-0.052	-0.052	-0.0516	-0.0516	-0.0516	-0.0516	-0.0512	-0.0512	-0.0512	-0.0508
-0.545809	-0.550726	-0.555654	-0.545157	-0.550073	-0.555001	-0.559941	-0.539605	-0.544509	-0.549425	-0.554353	-0.559293	-0.538962	-0.543867	-0.548782	-0.55371	-0.55865	-0.538324	-0.543229	-0.548144	-0.553072	-0.558011	-0.537691	-0.542595	-0.547511	-0.552438	-0.557377	-0.537063	-0.541967	-0.546882	-0.551809	-0.556748	-0.536439	-0.541343	-0.546258	-0.551185	-0.556124	-0.53582	-0.540724	-0.545639	-0.550566	-0.535206	-0.54011	-0.545024	-0.549951	-0.534597	-0.5395	-0.544415	-0.538895
53	53	53	53	54	53	54	53	53	54	54	53	31	56	54	53	42	54	56	53	54	53	56	56	53	53	52	54	56	54	53	53	54	56	54	55	56	52	39	55	55	54	49	55	52	53	55	53	39
53	53	53	53	54	53	54	53	53	54	54	53	31	56	54	53	42	54	56	53	54	53	56	56	53	53	52	54	56	54	53	53	54	56	54	55	56	52	39	55	55	54	49	55	52	53	55	53	39
10	10	10	10	10	10	10	10	10	10	10	10	5.77486	10	10	10	7.79583	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7.22728	10	10	10	9.02302	10	10	10	10	10	7.55582
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	5.77486	-10	-10	-10	7.79583	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	7.22728	-10	-10	-10	9.02302	-10	-10	-10	-10	-10	7.55582
0.00713171	0.00701332	0.00775513	0.00726311	0.00562865	0.00919866	0.00682934	0.00729109	0.00566747	0.00897717	0.00930691	0.00765855	0.00451568	0.0050946	0.00747013	0.00862409	0.00451568	0.00705863	0.00504539	0.00650006	0.00847502	0.00977439	0.00494579	0.00505657	0.00909583	0.00691816	0.00741774	0.00724234	0.00527263	0.00603723	0.00738955	0.00818435	0.00590491	0.00525331	0.00752572	0.00488991	0.00507694	0.00785677	0.00451568	0.00555088	0.00582058	0.0054722	0.00451568	0.00716963	0.00955216	0.00760402	0.00547451	0.0082763	0.00451568
0.0168354	0.0144586	0.0145505	0.0145253	0.0144731	0.0145052	0.0169457	0.0160282	0.0145155	0.0146452	0.0147328	0.0147286	0.0148819	0.0146201	0.0147994	0.0149249	0.0147201	0.01479	0.0147351	0.0149337	0.0150807	0.0148594	0.0148555	0.0148527	0.0150562	0.0152113	0.0149846	0.0149755	0.0149781	0.0151773	0.0153242	0.0151592	0.0151415	0.0151206	0.0153059	0.0154142	0.0195148	0.0153645	0.0152923	0.0154473	0.0154595	0.0157453	0.0155008	0.0155845	0.0156605	0.0170742	0.015806	0.01579	0.0231413
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-1	-1	-1	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-1	-1	-1	-2	-1	-1	-1	-1	-1	-2
0.544323	0.543881	0.543436	0.544174	0.543731	0.543286	0.54284	0.544464	0.544023	0.543581	0.543136	0.54269	0.544313	0.543872	0.54343	0.542985	0.54254	0.544162	0.543721	0.543278	0.542834	0.542388	0.54401	0.543569	0.543126	0.542682	0.542237	0.543857	0.543416	0.542974	0.54253	0.542084	0.543703	0.543263	0.542821	0.542377	0.541931	0.54355	0.543109	0.542667	0.542223	0.543395	0.542955	0.542513	0.542069	0.54324	0.5428	0.542358	0.542644
0.390095	0.3916	0.393107	0.390605	0.392109	0.393616	0.395126	0.389619	0.391117	0.39262	0.394126	0.395635	0.390133	0.391631	0.393133	0.394638	0.396146	0.39065	0.392147	0.393647	0.395151	0.396659	0.391168	0.392664	0.394163	0.395666	0.397173	0.391688	0.393183	0.394681	0.396183	0.397689	0.392209	0.393703	0.395201	0.396702	0.398206	0.392733	0.394226	0.395722	0.397222	0.393257	0.394749	0.396245	0.397744	0.393784	0.395275	0.396769	0.395802
0.0001
