-0.2484	-0.248	-0.2476	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2472	-0.2488	-0.2484	-0.248	-0.2476	-0.2488	-0.2484	-0.248	-0.2476	-0.2488	-0.2484	-0.248	-0.2476	-0.2488	-0.2484	-0.248	-0.2484
-0.0552	-0.0552	-0.0552	-0.0548	-0.0548	-0.0548	-0.0548	-0.0544	-0.0544	-0.0544	-0.0544	-0.0544	-0.054	-0.054	-0.054	-0.054	-0.054	-0.0536	-0.0536	-0.0536	-0.0536	-0.0536	-0.0532	-0.0532	-0.0532	-0.0532	-0.0532	-0.0528	-0.0528	-0.0528	-0.0528	-0.0528	-0.0524	-0.0524	-0.0524	-0.0524	-0.052	-0.052	-0.052	-0.052	-0.0516	-0.0516	-0.0516	-0.0516	-0.0512	-0.0512	-0.0512	-0.0508
-0.546043	-0.55096	-0.555888	-0.545391	-0.550307	-0.555236	-0.560176	-0.539839	-0.544743	-0.54966	-0.554588	-0.559528	-0.539196	-0.544101	-0.549017	-0.553945	-0.558885	-0.538558	-0.543463	-0.548379	-0.553306	-0.558246	-0.537925	-0.542829	-0.547745	-0.552673	-0.557612	-0.537297	-0.542201	-0.547117	-0.552044	-0.556983	-0.536673	-0.541577	-0.546493	-0.55142	-0.536054	-0.540958	-0.545873	-0.550801	-0.53544	-0.540344	-0.545259	-0.550186	-0.534831	-0.539734	-0.544649	-0.539129
56	54	53	55	55	53	55	54	51	53	54	40	55	56	53	54	52	52	57	53	53	53	55	57	53	52	53	48	56	53	53	53	54	56	54	53	53	55	53	51	54	53	54	53	52	53	53	52
56	54	53	55	55	53	55	54	51	53	54	40	55	56	53	54	52	52	57	53	53	53	55	57	53	52	53	48	56	53	53	53	54	56	54	53	53	55	53	51	54	53	54	53	52	53	53	52
10	10	10	10	10	10	10	10	10	10	10	7.56259	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8.72979	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	7.56259	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	8.72979	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
0.00507617	0.00756448	0.00737888	0.00696244	0.00477096	0.00920939	0.00556494	0.00557091	0.0077235	0.00903311	0.00868506	0.00451568	0.00468838	0.00530559	0.0092025	0.00974375	0.00638225	0.0072065	0.00455776	0.00920724	0.00735155	0.00980008	0.00644353	0.00464812	0.0056795	0.00617896	0.00971694	0.00451568	0.00498118	0.00909431	0.00565423	0.00765379	0.00571784	0.00497664	0.00912462	0.00565128	0.00605578	0.00517268	0.0089072	0.00655413	0.00542615	0.0073207	0.00525348	0.00451692	0.00489388	0.00581398	0.00913998	0.00786204
0.0161783	0.0144522	0.0145658	0.014499	0.0144799	0.014501	0.0202665	0.0156203	0.0145191	0.0146553	0.0147332	0.0147863	0.0148157	0.0146281	0.0148108	0.0149273	0.0147219	0.0147679	0.0147449	0.0149457	0.015084	0.014853	0.0148427	0.0148631	0.0150685	0.0152148	0.0149852	0.0149652	0.0149879	0.0151896	0.0153259	0.0152644	0.0151303	0.0151298	0.0153176	0.0154103	0.0153507	0.0153001	0.015457	0.0154509	0.0157136	0.015506	0.0155884	0.0156995	0.0168473	0.0158047	0.0158237	0.0233093
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.544278	0.543835	0.543391	0.544128	0.543685	0.543241	0.542795	0.544419	0.543978	0.543535	0.543091	0.542645	0.544268	0.543827	0.543384	0.54294	0.542494	0.544116	0.543676	0.543233	0.542789	0.542343	0.543964	0.543524	0.543081	0.542637	0.542191	0.543812	0.543371	0.542929	0.542484	0.542039	0.543658	0.543218	0.542775	0.542331	0.543505	0.543064	0.542622	0.542178	0.54335	0.54291	0.542467	0.542024	0.543195	0.542755	0.542313	0.542599
0.390199	0.391703	0.393212	0.390709	0.392213	0.39372	0.395231	0.389722	0.391221	0.392724	0.39423	0.39574	0.390237	0.391735	0.393236	0.394742	0.39625	0.390753	0.39225	0.393751	0.395255	0.396763	0.391271	0.392767	0.394267	0.39577	0.397277	0.391791	0.393286	0.394785	0.396287	0.397793	0.392313	0.393807	0.395304	0.396805	0.392836	0.394329	0.395826	0.397326	0.393361	0.394853	0.396348	0.397847	0.393887	0.395378	0.396873	0.395906
0.0001
